0x40ec7c,43368,7228,6,0,sendMTFValues,0x40ceee,1479734,1
0x409fde,30170,7,4310,0,fallbackSort,0x409c33,2547275,1
0x40a2cb,17247,1383,12.4707,991,fallbackSort,0x409c33,2547275,1
0x40cd45,14381,1033,13.9216,898,generateMTFValues,0x40cb2c,266623,1
0x4181dd,13133,1580,8.31203,571,BZ2_hbMakeCodeLengths,0x417d54,960949,20
0x40a18b,7456,327,22.8012,319,fallbackSort,0x409c33,2547275,1
0x40ec59,7376,148,49.8378,7,sendMTFValues,0x40ceee,1479734,1
0x41034b,7376,148,49.8378,7,sendMTFValues,0x40ceee,1479734,1
0x409550,6815,3933,1.73277,2023,fallbackSimpleSort,0x4093f0,424864,1847
0x409513,6400,1744,3.66972,1227,fallbackSimpleSort,0x4093f0,424864,1847
0x40a098,4622,195,23.7026,184,fallbackSort,0x409c33,2547275,1
0x40a3e3,4431,4309,1.02831,148,fallbackSort,0x409c33,2547275,1
0x409d70,4310,1,4310,0,fallbackSort,0x409c33,2547275,1
0x40cc08,4310,1,4310,0,generateMTFValues,0x40cb2c,266623,1
0x40a3e9,4310,1,4310,0,fallbackSort,0x409c33,2547275,1
0x409cc2,4310,1,4310,0,fallbackSort,0x409c33,2547275,1
0x40964d,4028,1383,2.91251,436,fallbackQSort3,0x4095ec,1288846,1383
0x40c95d,3735,2648,1.4105,1526,bsW,0x40c94c,130586,2648
0x40a22e,3431,327,10.4924,309,fallbackSort,0x409c33,2547275,1
0x7f5a4ea22658,3185,1786,1.78331,720,_dl_deallocate_tls,0x7f5a4ea1fa70,0,0
0x417e55,3169,1580,2.0057,1013,BZ2_hbMakeCodeLengths,0x417d54,960949,20
0x40a08c,2765,1383,1.99928,1,fallbackSort,0x409c33,2547275,1
0x4182c2,2560,32,80,0,BZ2_hbAssignCodes,0x418294,33896,5
0x4053a3,2400,376,6.38298,304,add_pair_to_block,0x405388,67179,376
0x409ad8,2398,631,3.80032,372,fallbackQSort3,0x4095ec,1288846,1383
0x409a20,2247,631,3.56101,384,fallbackQSort3,0x4095ec,1288846,1383
0x409431,2052,500,4.104,390,fallbackSimpleSort,0x4093f0,424864,1847
0x40a139,1857,195,9.52308,174,fallbackSort,0x409c33,2547275,1
0x41202a,1844,37,49.8378,1,sendMTFValues,0x40ceee,1479734,1
